Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  2      [ ]         DGRAM      CONNECTED     35021    
unix  2      [ ]         DGRAM      CONNECTED     19165    
unix  2      [ ]         DGRAM      CONNECTED     18535    
unix  2      [ ]         DGRAM      CONNECTED     13387    
unix  3      [ ]         SEQPACKET  CONNECTED     32240    
unix  2      [ ]         DGRAM      CONNECTED     34157    
unix  3      [ ]         STREAM     CONNECTED     48733    
unix  3      [ ]         SEQPACKET  CONNECTED     47306    
unix  3      [ ]         STREAM     CONNECTED     32066    
unix  3      [ ]         SEQPACKET  CONNECTED     12314    
unix  3      [ ]         STREAM     CONNECTED     30294    
unix  3      [ ]         SEQPACKET  CONNECTED     30133    
unix  2      [ ]         DGRAM      CONNECTED     33109    
unix  3      [ ]         STREAM     CONNECTED     67125    
unix  2      [ ]         DGRAM      CONNECTED     34796    
unix  2      [ ]         DGRAM      CONNECTED     48538    
unix  2      [ ]         DGRAM      CONNECTED     30053    
unix  3      [ ]         SEQPACKET  CONNECTED     32837    
unix  3      [ ]         SEQPACKET  CONNECTED     43342    
unix  2      [ ]         DGRAM      CONNECTED     47494    
unix  2      [ ]         DGRAM      CONNECTED     11024    
unix  2      [ ACC ]     SEQPACKET  LISTENING     17414    /dev/socket/tombstoned_crash
unix  2      [ ACC ]     SEQPACKET  LISTENING     17415    /dev/socket/tombstoned_intercept
unix  2      [ ]         DGRAM      CONNECTED     19149    
unix  2      [ ]         DGRAM      CONNECTED     34832    
unix  2      [ ]         DGRAM      CONNECTED     19016    
unix  2      [ ACC ]     SEQPACKET  LISTENING     17416    /dev/socket/tombstoned_java_trace
unix  3      [ ]         SEQPACKET  CONNECTED     34065    
unix  2      [ ]         DGRAM      CONNECTED     32376    
unix  3      [ ]         STREAM     CONNECTED     47446    
unix  3      [ ]         SEQPACKET  CONNECTED     16361    
unix  3      [ ]         SEQPACKET  CONNECTED     54641    
unix  3      [ ]         SEQPACKET  CONNECTED     19350    
unix  3      [ ]         STREAM     CONNECTED     34826    
unix  3      [ ]         STREAM     CONNECTED     32153    
unix  3      [ ]         SEQPACKET  CONNECTED     56430    
unix  2      [ ]         DGRAM      CONNECTED     34986    
unix  3      [ ]         SEQPACKET  CONNECTED     30159    
unix  3      [ ]         STREAM     CONNECTED     34836    /dev/socket/traced_producer
unix  2      [ ACC ]     STREAM     LISTENING     12301    /dev/socket/property_service
unix  2      [ ]         DGRAM      CONNECTED     48677    
unix  2      [ ]         DGRAM      CONNECTED     30169    
unix  3      [ ]         SEQPACKET  CONNECTED     32842    
unix  3      [ ]         SEQPACKET  CONNECTED     32836    
unix  2      [ ]         DGRAM      CONNECTED     59458    
unix  3      [ ]         SEQPACKET  CONNECTED     48412    /dev/socket/logdr
unix  2      [ ]         DGRAM      CONNECTED     34000    
unix  3      [ ]         STREAM     CONNECTED     9171     
unix  2      [ ]         DGRAM      CONNECTED     16332    
unix  2      [ ]         DGRAM      CONNECTED     59058    
unix  2      [ ]         DGRAM      CONNECTED     19217    
unix  2      [ ]         DGRAM      CONNECTED     32142    
unix  3      [ ]         STREAM     CONNECTED     48464    
unix  3      [ ]         STREAM     CONNECTED     32183    
unix  3      [ ]         SEQPACKET  CONNECTED     31991    
unix  3      [ ]         STREAM     CONNECTED     35532    
unix  3      [ ]         SEQPACKET  CONNECTED     34830    
unix  3      [ ]         SEQPACKET  CONNECTED     18920    
unix  3      [ ]         STREAM     CONNECTED     46902    
unix  2      [ ]         DGRAM      CONNECTED     33635    
unix  3      [ ]         SEQPACKET  CONNECTED     30147    
unix  2      [ ]         DGRAM      CONNECTED     18079    
unix  3      [ ]         SEQPACKET  CONNECTED     34190    
unix  3      [ ]         SEQPACKET  CONNECTED     33727    
unix  3      [ ]         STREAM     CONNECTED     15779    
unix  3      [ ]         SEQPACKET  CONNECTED     34831    
unix  2      [ ]         DGRAM      CONNECTED     34018    
unix  2      [ ]         DGRAM      CONNECTED     18965    
unix  2      [ ]         DGRAM      CONNECTED     31774    
unix  2      [ ]         DGRAM      CONNECTED     9015     
unix  3      [ ]         SEQPACKET  CONNECTED     33629    @jdwp-control
unix  2      [ ]         DGRAM      CONNECTED     15912    
unix  3      [ ]         SEQPACKET  CONNECTED     58751    
unix  3      [ ]         SEQPACKET  CONNECTED     32076    
unix  2      [ ]         DGRAM      CONNECTED     34153    
unix  3      [ ]         SEQPACKET  CONNECTED     34044    
unix  3      [ ]         SEQPACKET  CONNECTED     58627    
unix  3      [ ]         SEQPACKET  CONNECTED     16370    
unix  3      [ ]         STREAM     CONNECTED     43802    
unix  2      [ ]         DGRAM      CONNECTED     8786     
unix  2      [ ]         DGRAM      CONNECTED     8540     
unix  2      [ ]         DGRAM      CONNECTED     34004    
unix  2      [ ]         DGRAM      CONNECTED     18946    
unix  2      [ ]         DGRAM      CONNECTED     18020    
unix  3      [ ]         SEQPACKET  CONNECTED     30156    
unix  2      [ ]         DGRAM      CONNECTED     30235    
unix  3      [ ]         SEQPACKET  CONNECTED     19056    
unix  3      [ ]         SEQPACKET  CONNECTED     31992    
unix  3      [ ]         SEQPACKET  CONNECTED     65927    
unix  3      [ ]         SEQPACKET  CONNECTED     56431    
unix  3      [ ]         SEQPACKET  CONNECTED     34113    
unix  2      [ ]         DGRAM      CONNECTED     34964    
unix  2      [ ]         DGRAM      CONNECTED     30927    
unix  3      [ ]         STREAM     CONNECTED     49823    
unix  3      [ ]         STREAM     CONNECTED     30295    
unix  2      [ ]         DGRAM      CONNECTED     33675    
unix  3      [ ]         SEQPACKET  CONNECTED     19008    
unix  3      [ ]         STREAM     CONNECTED     16302    /dev/socket/zygote
unix  3      [ ]         SEQPACKET  CONNECTED     12299    
unix  3      [ ]         SEQPACKET  CONNECTED     19290    
unix  2      [ ]         DGRAM      CONNECTED     43996    
unix  2      [ ]         DGRAM      CONNECTED     43474    
unix  2      [ ]         DGRAM      CONNECTED     33725    
unix  2      [ ]         DGRAM      CONNECTED     10877    
unix  2      [ ]         DGRAM      CONNECTED     18311    
unix  3      [ ]         STREAM     CONNECTED     67122    
unix  3      [ ]         SEQPACKET  CONNECTED     48332    
unix  3      [ ]         SEQPACKET  CONNECTED     57139    
unix  2      [ ]         DGRAM      CONNECTED     33916    
unix  3      [ ]         SEQPACKET  CONNECTED     60755    
unix  3      [ ]         SEQPACKET  CONNECTED     18921    
unix  3      [ ]         SEQPACKET  CONNECTED     12315    
unix  3      [ ]         STREAM     CONNECTED     49417    
unix  3      [ ]         SEQPACKET  CONNECTED     30157    
unix  2      [ ]         DGRAM      CONNECTED     18413    
unix  3      [ ]         STREAM     CONNECTED     67127    
unix  3      [ ]         SEQPACKET  CONNECTED     50077    
unix  2      [ ]         DGRAM      CONNECTED     34820    
unix  3      [ ]         SEQPACKET  CONNECTED     33728    
unix  3      [ ]         SEQPACKET  CONNECTED     31990    
unix  2      [ ]         DGRAM      CONNECTED     32398    
unix  3      [ ]         SEQPACKET  CONNECTED     19099    
unix  3      [ ]         SEQPACKET  CONNECTED     65941    
unix  3      [ ]         SEQPACKET  CONNECTED     47092    
unix  2      [ ]         DGRAM      CONNECTED     33658    
unix  40     [ ]         DGRAM      CONNECTED     15641    /dev/socket/statsdw
unix  2      [ ACC ]     STREAM     LISTENING     15647    /dev/socket/dnsproxyd
unix  2      [ ]         DGRAM      CONNECTED     16271    
unix  2      [ ]         STREAM                   15648    /dev/socket/mdns
unix  3      [ ]         STREAM     CONNECTED     18091    
unix  2      [ ACC ]     STREAM     LISTENING     15649    /dev/socket/fwmarkd
unix  2      [ ACC ]     STREAM     LISTENING     15655    /dev/socket/zygote
unix  3      [ ]         SEQPACKET  CONNECTED     19289    
unix  2      [ ACC ]     STREAM     LISTENING     15656    /dev/socket/usap_pool_primary
unix  3      [ ]         SEQPACKET  CONNECTED     34081    
unix  3      [ ]         SEQPACKET  CONNECTED     18947    
unix  3      [ ]         SEQPACKET  CONNECTED     34102    
unix  2      [ ]         DGRAM      CONNECTED     35013    
unix  2      [ ACC ]     SEQPACKET  LISTENING     29547    /dev/socket/adbd
unix  3      [ ]         STREAM     CONNECTED     49414    
unix  3      [ ]         SEQPACKET  CONNECTED     30292    
unix  3      [ ]         STREAM     CONNECTED     30239    
unix  2      [ ]         DGRAM      CONNECTED     33569    
unix  2      [ ]         DGRAM                    16230    
unix  2      [ ACC ]     STREAM     LISTENING     18329    /dev/socket/mdnsd
unix  2      [ ]         DGRAM      CONNECTED     10720    
unix  2      [ ACC ]     STREAM     LISTENING     29611    /dev/socket/traced_consumer
unix  2      [ ACC ]     STREAM     LISTENING     29612    /dev/socket/traced_producer
unix  3      [ ]         SEQPACKET  CONNECTED     58762    
unix  3      [ ]         SEQPACKET  CONNECTED     33755    /dev/socket/adbd
unix  3      [ ]         SEQPACKET  CONNECTED     33732    
unix  2      [ ]         DGRAM                    32054    /dev/socket/wpa_wlan0
unix  3      [ ]         SEQPACKET  CONNECTED     34082    
unix  2      [ ]         DGRAM      CONNECTED     48534    
unix  3      [ ]         SEQPACKET  CONNECTED     30158    
unix  2      [ ]         DGRAM                    1220     
unix  2      [ ]         DGRAM      CONNECTED     57691    
unix  3      [ ]         STREAM     CONNECTED     43801    
unix  2      [ ]         DGRAM      CONNECTED     29787    
unix  2      [ ]         DGRAM      CONNECTED     11208    
unix  3      [ ]         SEQPACKET  CONNECTED     19351    
unix  3      [ ]         SEQPACKET  CONNECTED     19020    
unix  3      [ ]         SEQPACKET  CONNECTED     33820    
unix  3      [ ]         STREAM     CONNECTED     49824    
unix  3      [ ]         STREAM     CONNECTED     49392    
unix  3      [ ]         SEQPACKET  CONNECTED     30296    
unix  2      [ ]         DGRAM      CONNECTED     18026    
unix  3      [ ]         SEQPACKET  CONNECTED     47093    
unix  2      [ ]         DGRAM      CONNECTED     11084    
unix  2      [ ]         DGRAM      CONNECTED     16172    
unix  3      [ ]         STREAM     CONNECTED     49829    
unix  3      [ ]         STREAM     CONNECTED     34159    
unix  2      [ ]         DGRAM      CONNECTED     16064    
unix  2      [ ]         DGRAM      CONNECTED     47498    
unix  2      [ ]         DGRAM      CONNECTED     32123    
unix  2      [ ]         DGRAM      CONNECTED     34005    
unix  2      [ ]         DGRAM      CONNECTED     33883    
unix  3      [ ]         SEQPACKET  CONNECTED     19098    
unix  3      [ ]         SEQPACKET  CONNECTED     19058    
unix  3      [ ]         SEQPACKET  CONNECTED     33731    
unix  3      [ ]         SEQPACKET  CONNECTED     32075    
unix  3      [ ]         STREAM     CONNECTED     15778    
unix  3      [ ]         SEQPACKET  CONNECTED     60900    
unix  2      [ ]         DGRAM      CONNECTED     53889    
unix  3      [ ]         SEQPACKET  CONNECTED     34112    
unix  2      [ ]         DGRAM      CONNECTED     33680    
unix  2      [ ]         DGRAM      CONNECTED     30138    
unix  2      [ ]         DGRAM      CONNECTED     49808    
unix  3      [ ]         SEQPACKET  CONNECTED     43343    
unix  2      [ ]         DGRAM      CONNECTED     8585     
unix  2      [ ]         DGRAM      CONNECTED     35030    
unix  3      [ ]         STREAM     CONNECTED     9157     
unix  2      [ ]         DGRAM      CONNECTED     13892    
unix  3      [ ]         SEQPACKET  CONNECTED     19023    
unix  3      [ ]         SEQPACKET  CONNECTED     43520    
unix  3      [ ]         SEQPACKET  CONNECTED     12300    
unix  3      [ ]         STREAM     CONNECTED     54958    
unix  3      [ ]         SEQPACKET  CONNECTED     54579    
unix  3      [ ]         SEQPACKET  CONNECTED     47308    
unix  3      [ ]         SEQPACKET  CONNECTED     32096    
unix  3      [ ]         STREAM     CONNECTED     11206    
unix  2      [ ]         DGRAM      CONNECTED     43487    
unix  2      [ ]         DGRAM      CONNECTED     57689    
unix  3      [ ]         STREAM     CONNECTED     49393    
unix  3      [ ]         SEQPACKET  CONNECTED     30306    
unix  3      [ ]         SEQPACKET  CONNECTED     30297    
unix  2      [ ]         DGRAM      CONNECTED     12283    
unix  2      [ ]         DGRAM      CONNECTED     12234    
unix  3      [ ]         SEQPACKET  CONNECTED     47080    
unix  2      [ ]         DGRAM      CONNECTED     16384    
unix  2      [ ]         DGRAM      CONNECTED     34593    
unix  2      [ ]         DGRAM      CONNECTED     48672    
unix  3      [ ]         SEQPACKET  CONNECTED     34110    
unix  3      [ ]         SEQPACKET  CONNECTED     30049    /dev/socket/lmkd
unix  2      [ ]         DGRAM      CONNECTED     15822    
unix  2      [ ]         DGRAM      CONNECTED     15781    
unix  3      [ ]         SEQPACKET  CONNECTED     43345    
unix  3      [ ]         STREAM     CONNECTED     32182    
unix  3      [ ]         SEQPACKET  CONNECTED     31989    
unix  3      [ ]         STREAM     CONNECTED     11205    
unix  3      [ ]         SEQPACKET  CONNECTED     34045    
unix  3      [ ]         SEQPACKET  CONNECTED     19007    
unix  3      [ ]         SEQPACKET  CONNECTED     18894    
unix  3      [ ]         STREAM     CONNECTED     49418    
unix  3      [ ]         SEQPACKET  CONNECTED     30305    
unix  2      [ ]         DGRAM      CONNECTED     33576    
unix  2      [ ]         DGRAM      CONNECTED     33566    
unix  2      [ ]         DGRAM      CONNECTED     29952    
unix  2      [ ]         DGRAM      CONNECTED     49635    
unix  2      [ ]         DGRAM      CONNECTED     32429    
unix  3      [ ]         STREAM     CONNECTED     34825    
unix  2      [ ]         DGRAM      CONNECTED     53273    
unix  3      [ ]         STREAM     CONNECTED     49415    
unix  2      [ ]         DGRAM      CONNECTED     33921    
unix  2      [ ]         DGRAM                    33882    
unix  2      [ ]         DGRAM      CONNECTED     16925    
unix  2      [ ]         DGRAM      CONNECTED     19205    
unix  3      [ ]         SEQPACKET  CONNECTED     58628    
unix  3      [ ]         STREAM     CONNECTED     32154    
unix  3      [ ]         SEQPACKET  CONNECTED     31967    
unix  3      [ ]         SEQPACKET  CONNECTED     19059    
unix  3      [ ]         STREAM     CONNECTED     30290    
unix  3      [ ]         SEQPACKET  CONNECTED     30143    
unix  3      [ ]         SEQPACKET  CONNECTED     65926    
unix  3      [ ]         SEQPACKET  CONNECTED     50076    
unix  2      [ ]         DGRAM      CONNECTED     49703    
unix  3      [ ]         SEQPACKET  CONNECTED     33685    
unix  2      [ ]         DGRAM      CONNECTED     30188    
unix  2      [ ACC ]     STREAM     LISTENING     33884    @com.android.internal.os.WebViewZygoteInit/19e319c9-114c-441f-b07d-b2c1835cb54d
unix  2      [ ACC ]     SEQPACKET  LISTENING     18324    @jdwp-control
